Date,Actual_Variance,Forecast_Variance,Actual_Volatility_Annualized,Forecast_Volatility_Annualized,Recalibrated_Forecast
2024-11-29,0.3115638369087064,1.3097031604612637,0.08860817507487334,0.18167146072959245,0.5753330282817539
2024-12-02,0.6154473250872383,0.7585932594204193,0.12453623003848481,0.13826261294144043,0.43528454593772503
2024-12-03,0.2889279816198173,0.8213265843693581,0.08532868882632264,0.1438660137979357,0.4512263879095363
2024-12-04,0.354537349301844,0.654106850331447,0.09452164409491864,0.12838805485072383,0.40873237732153567
2024-12-05,2.4341310315649416,0.6076501425244596,0.24766934003916702,0.12374483258551197,0.3969267621243113
2024-12-06,0.12295652455734517,0.5688149510722152,0.05566421129276062,0.11972525534330601,0.38705793266914335
2024-12-09,0.12713475136997268,0.517205272931495,0.05660208242214514,0.11416467438692966,0.3739428405900119
2024-12-10,0.21939749836663394,0.5038674780234758,0.0743560149472736,0.11268300868450218,0.370553429637394
2024-12-11,0.09300993998667788,0.45553617662128554,0.048413329648602794,0.1071424829414383,0.3582714412385194
2024-12-12,0.15937101256197064,0.43304643235661167,0.06337309773525089,0.10446420485212443,0.3525563297033712
2024-12-13,2.6546220582822047,0.47234125713958464,0.2586435304984673,0.10910086929038436,0.3625419615427492
2024-12-16,0.2183767462210439,0.44202462158962563,0.07418284171403995,0.10554155799522086,0.3548378742263536
2024-12-17,0.4593410512686136,0.49038995487781295,0.10758900730078823,0.11116576299797024,0.36712851083491593
2024-12-18,0.44325583006591224,1.0918040306215293,0.10568844268727298,0.1658718227176109,0.5199603296956735
2024-12-19,0.12054907173446763,0.7406224836406878,0.05511657289516997,0.13661510380534553,0.43071779823505635
2024-12-20,1.5129869136799634,1.1146303708249319,0.19526205526096227,0.16759679395736748,0.5257609772560193
2024-12-23,0.4363554595204497,1.5736986629793548,0.10486256519805023,0.19914117180301955,0.642419773418216
2024-12-24,0.28281559711607146,0.9881757369909033,0.0844212831419009,0.15780376602657734,0.4936262260559805
2024-12-26,0.35316879942875323,0.9715878974641567,0.09433903617063608,0.15647368793537383,0.48941091120371655
2024-12-27,0.16674747413659402,0.7531614077760037,0.06482311584799183,0.13776671396224593,0.4339041995173802
2024-12-30,0.7262881761700737,0.6884729787646644,0.13528659223842493,0.1317175731057536,0.41746552496054967
2024-12-31,0.4242682264281671,0.7831231425045997,0.10339999664405125,0.14048025907975795,0.4415180991573783
2025-01-01,0.5258860721527668,0.5945322737425852,0.1151187604964965,0.12240185169478912,0.3935932389721779
2025-01-02,0.8567532681051576,0.5796389666282203,0.14693598046853595,0.12085901687102686,0.389808540031892
2025-01-03,0.17456751583126942,0.6330479888834151,0.06632572200095517,0.12630443111728923,0.40338088285533213
2025-01-06,1.294837232575413,0.7383783901170812,0.18063747745387834,0.1364079742205361,0.43014752742042284
2025-01-07,0.21483352308022283,1.505574789322794,0.07357856197032948,0.19478317353132535,0.6251080809609059
2025-01-08,0.5629111228858229,0.8066679542562315,0.11910231020732863,0.1425764091540288,0.44750132527373776
2025-01-09,0.15975503570984237,0.9229971959487964,0.06344940425163996,0.15251075154857008,0.4770630038436679
2025-01-10,0.4760875987567277,0.8502778931007186,0.10953267772071282,0.14637965332018693,0.45858351729887015
2025-01-13,0.7153185162817269,0.7725104690709099,0.13426103906308606,0.13952513687714818,0.4388211982212964
